subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business
HP,0.6433521509170532,0.01248404011130333,0.028674568980932236,0.014790758490562439,0.24568073451519012,0.7908950448036194,0.06913165748119354,0.23454581201076508,0.006680503487586975,0.9881420135498047,0.09727436304092407,0.16961868107318878,0.34778913855552673,0.2683263421058655,0.07006996124982834,0.04765365645289421,0.4989054501056671,0.9727010130882263,0.13511031866073608,0.4991895258426666
Hepatitis,0.06513047218322754,0.00042365287663415074,0.00023705455532763153,0.0023799757473170757,0.003727610455825925,0.0011183652095496655,0.00044951363815926015,0.016989780589938164,0.0004515742475632578,0.0004538683278951794,0.00024126078642439097,0.001159519306384027,0.0005786248366348445,0.0002333091397304088,0.0005657611764036119,6.609157571801916e-05,0.0006784643628634512,0.9651094675064087,0.0005348032573238015,0.00040852968231774867
Human Papillomavirus,0.03195981681346893,0.00010704835585784167,0.00037714754580520093,0.00013281262363307178,0.016619309782981873,0.00024300515360664576,0.00028926768573001027,0.11430436372756958,0.0001712698576739058,0.00023366253299172968,0.00010249840852338821,0.00047060460201464593,0.056032806634902954,0.00015343482664320618,0.006151494570076466,5.5070442613214254e-05,0.00020747544476762414,0.057579297572374344,0.0009003161685541272,0.00023802800569683313
Human immunodeficiency virus,0.015949219465255737,0.00010231529449811205,0.0002737804898060858,7.007518433965743e-05,0.007498668506741524,0.000389542750781402,0.00041699735447764397,0.12529140710830688,0.00019845621136482805,0.00016675825463607907,0.000100748184195254,0.000602000392973423,0.011702616699039936,0.00013055797899141908,0.0014167921617627144,4.581193206831813e-05,0.0002472891064826399,0.08712786436080933,0.0007144318660721183,0.0004642621206585318
ICI waste,0.006432508118450642,0.00951573345810175,0.026584016159176826,0.010883639566600323,0.004382461309432983,0.0029509286396205425,0.010384535416960716,0.020308740437030792,0.2317344695329666,0.007140735629945993,0.025013508275151253,0.7646210789680481,0.0005248234374448657,0.0002997218689415604,0.0036142398603260517,0.00012722953397314996,0.11829032003879547,0.0015124079072847962,0.00031949777621775866,0.000516476109623909
ID badges,0.33347758650779724,0.005607721861451864,0.007025919854640961,0.0024480633437633514,0.13218292593955994,0.08710364252328873,0.0794319212436676,0.39780837297439575,0.0002580713771749288,0.1086747869849205,0.09550587832927704,0.21118351817131042,0.44471442699432373,0.16336765885353088,0.04957743361592293,0.07814273238182068,0.08670935034751892,0.098345547914505,0.09859973192214966,0.43443775177001953
ID cards,0.057117462158203125,0.00015023132436908782,0.005453333258628845,0.00021733682660851628,0.01829993724822998,0.007554496172815561,0.00784195214509964,0.3609500527381897,0.00017556443344801664,0.005490322131663561,0.018161974847316742,0.04050160199403763,0.6107256412506104,0.010150674730539322,0.005601061042398214,0.030912181362509727,0.025714928284287453,0.029987404122948647,0.08078349381685257,0.20489300787448883
IPM,0.0880512222647667,0.010158254764974117,0.005928415339440107,0.009225597605109215,0.016999706625938416,0.17947901785373688,0.14847789704799652,0.2745470106601715,0.0024744130205363035,0.3666530251502991,0.0822390615940094,0.9737598896026611,0.4386957585811615,0.13754746317863464,0.00558116240426898,0.01865508034825325,0.20553357899188995,0.03313145413994789,0.2086862474679947,0.5480031371116638
Indians (native),0.0961640253663063,0.0008234938140958548,0.0037659381050616503,0.00012118310405639932,0.021136464551091194,0.0977807492017746,0.0017369852866977453,0.25038790702819824,0.0012710465816780925,0.05848195403814316,0.0037232653703540564,0.01805894263088703,0.10099802166223526,0.15457068383693695,0.006521532312035561,0.00023656291887164116,0.031411509960889816,0.002384379506111145,0.12195507436990738,0.0019552563317120075
Inui,0.14898201823234558,0.006359347142279148,0.04635230451822281,0.002670332556590438,0.04056607559323311,0.14403899013996124,0.041724395006895065,0.20213410258293152,0.017074383795261383,0.11753177642822266,0.11459501832723618,0.40262627601623535,0.34896788001060486,0.06985709071159363,0.04592644050717354,0.01048375479876995,0.26709645986557007,0.05759124085307121,0.07729847729206085,0.30482983589172363
Islamic foods,0.000109261971374508,7.779995939927176e-05,5.748004332417622e-05,0.00021145978826098144,0.00013317924458533525,0.00012913445243611932,0.00016494137526024133,0.0046116081066429615,0.00010488048428669572,0.0008683038176968694,0.00014555046800523996,7.173127232817933e-05,0.0021762989927083254,0.0001341966853942722,0.00013148058496881276,4.945237742504105e-05,0.0006498081493191421,6.48840214125812e-05,0.0023418916389346123,0.00013334305549506098
Land Transfer Tax,0.0036235267762094736,0.00028718484099954367,0.00019779264403041452,0.0004971041344106197,0.0026553848292678595,0.001281351549550891,0.00014889315934851766,0.0009749006130732596,0.00016002140182536095,0.00017963566642720252,0.0001842450728872791,0.0023095342330634594,0.0005158366402611136,0.00013964393292553723,5.5701522796880454e-05,0.00028110723360441625,0.0009460639557801187,9.06380228116177e-05,0.011554147116839886,0.8324070572853088
MLT,0.44539937376976013,0.04302958771586418,0.03234560787677765,0.02843306213617325,0.1714678704738617,0.4660985469818115,0.6971266865730286,0.9536998271942139,0.029962219297885895,0.3687179386615753,0.2780423164367676,0.584970235824585,0.5560480952262878,0.30319395661354065,0.10876604914665222,0.09554008394479752,0.5242288112640381,0.2078312337398529,0.44364824891090393,0.7838134765625
March break camps,0.138515904545784,0.0011964341392740607,0.001964696915820241,0.002594549674540758,0.003967185039073229,0.00206521968357265,0.0004700270073954016,0.009234925732016563,0.016383102163672447,0.1928987205028534,0.04189148172736168,0.0004866439267061651,0.01031288132071495,0.002633875235915184,0.5767455697059631,0.0014668331714347005,0.005293325986713171,0.0002631878014653921,0.026933493092656136,0.0005963955773040652
Master Plans,0.10233087092638016,0.002045250032097101,0.0002962507714983076,0.001089881407096982,0.05921771377325058,0.023508191108703613,0.006735723000019789,0.051540423184633255,7.653208012925461e-05,0.019726332277059555,0.016761409118771553,0.1285063773393631,0.025148412212729454,0.24599160254001617,0.0013473385479301214,0.011309619061648846,0.007745933253318071,0.059530388563871384,0.046100445091724396,0.7328504323959351
Metis,0.11279663443565369,0.0017771065467968583,0.002535607200115919,0.0013855153229087591,0.023355023935437202,0.23914672434329987,0.015272071585059166,0.9302817583084106,0.0003608747501857579,0.16924697160720825,0.5328963994979858,0.29602956771850586,0.23135994374752045,0.5848289132118225,0.019112449139356613,0.0034035893622785807,0.13072888553142548,0.17555318772792816,0.06266443431377411,0.14536264538764954
Mikey,0.173570454120636,0.058231793344020844,0.030266286805272102,0.0009746378636918962,0.05987558513879776,0.2242034375667572,0.050520651042461395,0.36703723669052124,0.008169556967914104,0.15152819454669952,0.09680113941431046,0.2399895042181015,0.4041095972061157,0.4964424669742584,0.05897021293640137,0.0400317944586277,0.1739601343870163,0.1257808953523636,0.1510263979434967,0.49637314677238464
Municipal Land Transfer Tax,0.01230420358479023,0.00031512760324403644,0.00023911612515803427,0.00046155930613167584,0.0032168610487133265,0.004094259347766638,0.0002979784912895411,0.000755149289034307,0.00013046583626419306,0.00017978766118176281,0.00018690752040129155,0.001460718223825097,0.0007591216126456857,0.00014867266872897744,6.234912143554538e-05,0.002715548500418663,0.0011859792284667492,8.419043297180906e-05,0.01746036671102047,0.8057764172554016
M¿tis,0.5216874480247498,0.12471424043178558,0.08509133756160736,0.05877752974629402,0.19987457990646362,0.4091392159461975,0.2932772934436798,0.7089111804962158,0.21292029321193695,0.3241293728351593,0.3960460126399994,0.5694140791893005,0.5436692833900452,0.6254305243492126,0.18569666147232056,0.167876198887825,0.45127013325691223,0.3404628336429596,0.3018358051776886,0.6179326772689819
