,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
1478,electric bills,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.998,0.000,0.007,0.003,0.000,0.000,0.000,0.824,0.000,0.012,0.087,0.998,energy,7
1487,electricity bills,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.008,0.001,0.000,0.000,0.000,0.817,0.000,0.011,0.246,0.998,energy,7
2594,low income housing,0.998,0.001,0.000,0.001,0.000,0.153,0.000,0.001,0.001,0.000,0.001,0.000,0.003,0.000,0.000,0.000,0.755,0.000,0.006,0.000,0.998,housing,321
26,BMX bike riders,0.000,0.998,0.000,0.000,0.016,0.000,0.000,0.013,0.033,0.103,0.001,0.003,0.736,0.001,0.000,0.001,0.012,0.000,0.211,0.005,0.998,bikes,1
4643,utility pole banners,0.000,0.000,0.000,0.000,0.000,0.053,0.001,0.014,0.000,0.869,0.002,0.998,0.500,0.000,0.000,0.004,0.008,0.000,0.090,0.265,0.998,infrastructure,6
3075,parks,0.000,0.001,0.000,0.003,0.998,0.000,0.000,0.001,0.000,0.002,0.001,0.000,0.012,0.006,0.000,0.003,0.001,0.000,0.034,0.000,0.998,parks,937
515,bicycling,0.000,0.998,0.000,0.000,0.001,0.000,0.000,0.016,0.000,0.106,0.001,0.002,0.455,0.000,0.000,0.000,0.002,0.000,0.013,0.000,0.998,bikes,171
2906,nuclear power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.998,energy,14
1238,cycling,0.000,0.998,0.000,0.001,0.000,0.000,0.001,0.276,0.001,0.330,0.088,0.005,0.544,0.001,0.000,0.000,0.016,0.000,0.022,0.006,0.998,bikes,171
2138,horse-drawn streetcar,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.998,0.001,0.005,0.000,0.811,0.423,0.027,0.000,0.000,0.011,0.000,0.022,0.012,0.998,transit,1
